id,date,channel_id,message,views,image
2795,2024-10-10 17:01:02+00:00,1911711373,"Dear members , ⏰ 3 Days left until our big Crypto Pump ! 📈 💎 📈 🗓 Date : Sunday , October 13th ⏱ Time : 6 pm GMT + 1 ( 6 pm UK 🇬🇧 time ) 🏰 Platform : Poloniex_CEX 💵 Pairing : USDT 🪙 🎯 Target : + 1000 % ( 10x ) 💎 🚀 💎 Members Worldwide , Read the Guide below to get started and learn how to make profit by entering our pumps on POLONIEX_CEX : ‼ ️ Buy VIP ( + 500 % average per pump ): 💲 @USER ✅ ️",31878,
2794,2024-10-09 17:01:58+00:00,1911711373,"Dear members , ⏰ 4 Days left until our big Crypto Pump ! 📈 💎 📈 🗓 Date : Sunday , October 13th ⏱ Time : 6 pm GMT + 1 ( 6 pm UK 🇬🇧 time ) 🏰 Platform : Poloniex_CEX 💵 Pairing : USDT 🪙 🎯 Target : + 1000 % ( 10x ) 💎 🚀 💎 Members Worldwide , Read the Guide below to get started and learn how to make profit by entering our pumps on POLONIEX_CEX : ‼ ️ Buy VIP ( + 500 % average per pump ): 💲 @USER ✅ ️",31861,
2793,2024-10-08 19:03:23+00:00,1911711373,"➡ ️ ➡ ️ ANNOUNCEMENT ⬅ ️ ⬅ ️ Dear members , Be here on Sunday at 6:00 PM GMT + 1 , 13 October 2024 for a BIG Crypto Pump ⏱ Time : 6 PM GMT + 1 ( UK Time ) 📅 Date : Sunday , October 13th 🏰 Platform : Poloniex_CEX 💵 Pairing : USDT 🎯 Target : + 1000 % ( 10x ) ✅ Get ready your POLONIEX_CEX account and start transferring USDT so that you won't miss this unique opportunity . ✅ Don't forget to turn ON the notifications ✅ Make sure you have USDT in your account to buy the coin 🪙 ▪ ️VIP membership : Submit your request and start making real money RIGHT NOW ▪ ️What are you waiting for ? Get coin name before all the FREE community . ‼ ️ Buy VIP ( + 500 % average per pump ): 💲 @USER ✅ ️",32083,
2792,2024-10-06 19:12:45+00:00,1911711373,"GREAT PUMP TODAY 🔥 🔥 As many members requested , here goes real time video of todays pump ‼ ️ Video in 10x speed",32345,
2790,2024-10-06 19:07:31+00:00,1911711373,"🙂 VIP MEMBER REVIEWS 🙂 Here's a selection of reviews from some VIPs after todays pump . Insane results were sent in from so many members 👏 VIP members receive the coin name in advance of each pump , they are able to secure better buy-in prices and make higher more consistent gains . WE ARE RE-OPENING THE VIP GROUP FOR A LIMITED TIME . Applications are now open . To enquire please contact 💸 @USER ✅ ️ Another pump announcement coming soon … 📈",32315,
2789,2024-10-06 17:28:18+00:00,1911711373,"🔥 📈 PUMP RESULT : 1,392 . 00 % OFFICIAL PUMP RESULTS : Coin : BEOBLE / USDT Low : 0.00668 High : 0.093 Peak Gain : 🙂 1,392 . 00 % 🙂 Today we pumped the coin BEOBLE , and absolutely smashed our target again , shooting the coin to the moon upwards of 1300 % . That was a truly beautiful pump 😍 Massive congratulations everyone once again got another successful week - This is just normal in the life of Crypto Pump . Enjoy your gains from today , and we go again very soon . We'll be back this week with another pump on the Poloniex_CEX exchange . Best , Your Crypto Pumps Team 📈 🔥 ‼ ️ Buy VIP ( + 500 % average per pump ): 💲 @USER ✅ ️",32175,
2788,2024-10-06 17:01:06+00:00,1911711373,"‼ ️ Keep buying , second wave coming now ‼ ️",32196,
2786,2024-10-06 16:55:06+00:00,1911711373,5 MINUTES until the crypto pump 💎 🚀 💎 ➡ ️The next message will be the coin name ! ➡ ️Coin will be shared as an image ➡ ️Coin name will be written in red ! 💵 Good luck everyone 🪙 ‼ ️ Buy VIP ( + 500 % average per pump ): 💲 @USER ✅ ️,32182,
2785,2024-10-06 16:30:59+00:00,1911711373,30 MINUTES until the crypto pump 🚀 ⏩ Open our Telegram channel ⏩ Open Poloniex_CEX ⏩ Open SPOT search bar ⏩ Get ready your $ USDT 🔴 Vip receive the coin in advance 🍀 Good luck everyone 🍀 ‼ ️ Buy VIP ( + 500 % average per pump ): 💲 @USER ✅ ️,32184,
2784,2024-10-06 16:01:59+00:00,1911711373,"🔵 1 HOUR UNTIL THE CRYPTO PUMP When the coin name is sent , the pump happens fast . You need to buy as quickly as possible to get in at a good price and sell when you're happy with the gains . Tip - You must decide yourself when you'd like to sell , but don't wait too long . For more information , read the GUIDE : Recommended amount to maximize profits : 500 $ - 5000 $ ‼ ️ Buy VIP ( + 500 % average per pump ): 💲 @USER ✅ ️",32078,
