label,id,date,channel_id,message
5,461,2019-11-27 07:05:08+00:00,1412636305,Binance_CEX MANA / BTC Take-Profit target 1 ✅ Profit : 15.2542 % 📈 Period : 1 Days 22 Hours 35 Minutes ⏰
5,719,2021-04-04 04:55:51+00:00,1268024695,SKL / USDT Long Signal ⬆ ️ Long / Buy ⏺ Entry : 0.70691 - 0.70695 🎯 Take Profit : ✳ ️ 0.71691 ✳ ️ 0.73691 ✳ ️ 0.75691 ✳ ️ 0.77691 ✳ ️ 0.79691 + + + 🔀 Leverage : 10X - 20X ⛔ ️ Stop Loss : 0.30691 ! ️Remember to open LONG position !
5,6543,2018-08-30 11:17:54+00:00,1392777632,LINK / BTC ( BINANCE_CEX ) BUY - 4200 SELL - 4900 - 5400 - 6000 - 6700 Wait For Dip & BUY IT . 1ST Target is Short Term . 🚀 🚀 🚀
5,7729,2021-10-05 19:12:57+00:00,1243433527,💰 💰 These are all great Live Binance_CEX Futures Trade Statements shared by our premium members 👁‍🗨 Contact @USER to enter the Premium Group for huge profit on Binance_CEX Futures Signals
5,14844,2021-11-12 09:21:50+00:00,1381990652,🚀 🚀 20 % Profit on DGB for our Premium Members on Binance_CEX / SPOT & Kucoin_CEX ✔ ️ ✔ ️These are some great signals for huge gains on daily basis 👁‍🗨 Contact @USER to enter the Premium Group
5,8893,2021-03-26 23:00:02+00:00,1252042320,"24 Hour Volume All BTC Pairs : 57,398 ( -0.32 % ) Stable volume mode ✅ All USDT Pairs : 15,333 M ( +0.11 % ) Stable volume mode ✅ @USER"
5,3018,2017-11-30 17:48:07+00:00,1141221379,BTC next strong support level $ 8000 - $ 8200
5,40027,2021-03-12 14:28:39+00:00,1201169403,Binance_CEX soruşturma görünce bizde etkilenme olur mu genel anlamda yoksa tek bnb mi etkilenir
5,5911,2018-12-10 16:45:57+00:00,1085370787,"📈 Смотрите в видео , что будет с LTC через полгода . Цели для ходлеров : 👉 UNKNOWN_URL: youtu А также Вы получите технический анализ топовых криптовалют ( на 10.12 . 2018 ) - BTC . ETH . XRP . TRX . XLM . EOS . LTC ."
5,4042,2021-12-08 14:35:47+00:00,1486981201,Sudden PUMP & DUMP is going on 😳 😳
5,2424,2020-01-24 18:42:05+00:00,1483360908,BUY AGI ITS BREAKING OUT ! Volume Spiked ! Buy - 207-208 Sell - 212-215- 219-228- 230 Satoshi 🚀 🚀 🚀
5,9609,2020-03-26 17:05:27+00:00,1349011756,"EDO TOP GAINER 40 % peak first few min , 60 % peak after 18 min and 70 % peak 26 min after start ! great volume and great effort from our VIP and everyone out there . we will work hard to grow every time so next call will be even bigger than this one ! Peak price : 2446 Expected gain : 70 % Peak gain : 73 % Getting so many positive feedbacks in few minutes of call is so satisfying . It feels good to do something for our community . Stay tuned ! ! And Let's Join VIP For get Big Profits EveryDay 😁"
5,10995,2021-11-26 19:13:16+00:00,1350255053,Update for 19.30 as well
5,5933,2021-12-04 06:25:03+00:00,1545919293,The our pump of coin 👉 XEM / BTC ( Binance_CEX ) continues ! ✅ Now 1 Target 🎯 has been achieved in : 38 Minutes Quick profit : 4.67 % for all members of our VIP channel . Do you want to receive the same quick profit as all our 👑 VIP members ? Subscribe to our VIP channel . Instructions for obtaining VIP access are written here 👉 LINK TO TELEGRAM GROUP: 44
5,836,2021-03-13 09:01:38+00:00,1413179415,"KuCoin_CEX , Binance_CEX ELF / BTC Take-Profit target 1 ✅ Profit : 15.7143 % 📈 Period : 8 Days 14 Hours 48 Minutes ⏰"
5,2110,2019-08-03 10:35:57+00:00,1291503703,in a 40
5,768,2018-05-13 15:54:58+00:00,1390964323,Kal kya topic aap chahte hai hum cover kare anonymous poll Zilliqa or quarkchain or holochain – 649 👍 👍 👍 48 % Instant update coins – 316 👍 👍 👍 23 % Bitcoin study and prediction – 153 👍 👍 11 % New coin study and prediction – 138 👍 10 % Instant updates news – 97 👍 7 % 👥 1353 people voted so far .
5,8348,2019-05-01 18:01:11+00:00,1122153023,CoinMarketCap ( CMC ) will remove exchanges from its calculations if they fail to provide mandatory data by 14th June . UNKNOWN_URL: coinmarketcap
5,1604,2021-03-28 18:00:28+00:00,1497767689,NAS governance incentives program 🚀 That's huge 🚀
5,5533,2021-11-25 02:45:11+00:00,1312794873,LUNA / USDT 🆘 SHORT ABOVE 39.200 LEVERAGE - 5X - 10X ONLY SELL - 38.650 | 38.150 | 37.550+ 🚀 STOP LOSS : 41.240
5,101,2021-05-16 12:45:59+00:00,1362638218,Reminder : You have 10 more days to take part in our Referral Promotion and claim 0.25 BTC bonus paid immediately to your Bitcoin wallet .
5,9294,2019-06-27 02:30:43+00:00,1122153023,Lolli Expands Popular Travel Category With Hotels Partnership news adoption Bitcoin-rebate service Lolli is expanding its roster of travel partners . ✅ UNKNOWN_URL: pst
5,921,2017-11-02 10:53:36+00:00,1126647644,Picked up some $ STRAT at current price : 0.0003700 STRAT has got flash dumped !
5,9114,2021-06-14 11:42:42+00:00,1457621071,Bnb take 20 % off profits at 362 $ here
5,337,2019-07-06 15:13:30+00:00,1392406205,Gone back in 11494 short TP 11440
5,16108,2020-04-01 08:50:26+00:00,1143136828,AION VIP call hit 1044 Target 1 achieved ✅ 17 % profit so far . Contact for Premium VIP Signals @USER
5,6400,2021-03-22 09:00:01+00:00,1449657884,Binance_CEX Listed on RAMP / BTC RAMP / USDT RAMP / BUSD
5,12058,2020-09-05 16:51:12+00:00,1291503703,We don't have a support ?
5,1975,2018-04-30 16:48:29+00:00,1356364264,TRX hit updated target 1050 successfully . Heading up for next target . Total profit so far 105 % 💵 ✅
5,475,2018-01-12 18:43:47+00:00,1164733189,Signal NXS / BTC 0.00067 btc . Targets on the chart . The call is mostly based on the major news coming January 14 for Nexus . 💥 Rating 2.5 / 5
5,4027,2019-03-19 15:41:19+00:00,1312345502,GXS 🚀
5,2196,2021-10-10 10:31:21+00:00,1386020896,Coach is a psycho 🚀
5,8044,2021-09-15 17:17:12+00:00,1167024268,There will be an AMA coming up . LINK TO TELEGRAM GROUP: 7418
5,2835,2019-08-31 15:02:23+00:00,1367634633,"Guyz our mega platform is going to launch any moment , I'm looking for some suggestion from you all like - What you want to see in our platform ? for ex . P2P , TA , FREE Signals , Charts , FREE Crypto Earning , Tutorials , Direct contact with experts , group chats , group trading ... In Short - whatever service you want , which will make you more comfortable in crytpo trading plz msg me directly on @USER Any Valuable suggestion will be ofcourse rewarded with cash or bitcoins my promise . Because I want to build platform with features what you want - 🙏"
5,9504,2021-04-02 03:52:46+00:00,1495009585,"I sniped 375ish last night , honestly shoulda just bought everything I wanted to . But being a methodical investor lol"
5,8244,2021-10-09 14:07:27+00:00,1236764008,KLAY proof 👆 Compare time according to my NewYork timezone in both screenshot
5,25456,2021-02-02 20:45:51+00:00,1201169403,usta şuan 23 dolar
5,864,2018-03-22 16:24:21+00:00,1204405170,In premium channel we have shared MTL
5,6834,2021-04-12 12:24:53+00:00,1354862145,Coinbase_CEX IPO is this week 👀
5,1120,2019-10-17 21:24:50+00:00,1375670269,"NEO / USD We couldn't help , but enter short positions on this beautiful setup . UNKNOWN_URL: tradingview"
5,4218,2021-09-15 09:29:41+00:00,1279556766,"Bitwise Files for Bitcoin Futures ETF As hopes for a physical Bitcoin ETF fade , Bitwise Asset Management applies for an exchange-traded fund backed by Bitcoin futures contracts ."
