label,id,date,channel_id,message
5,99,2021-06-18 09:40:51+00:00,1157923690,IPX 🐳 For vip DM @USER
1,98,2021-06-17 14:00:02+00:00,1157923690,3 hours left 🚀 Be ready ! Exchange hotbit_CEX
1,97,2021-06-17 05:00:06+00:00,1157923690,12 hours left 🐳
5,96,2021-06-12 09:59:34+00:00,1157923690,FBN Pump 🚀
0,93,2021-06-08 09:14:34+00:00,1157923690,HUGE Hotbit_CEX PUMP for you ! 🚀 🔥 🚀 🔥 🚀 Date : 11.Jun 2021 Time : 16:00 GMT Exchange : Hotbit_CEX Pair : USDT We opened new VIP group with good discount for 24 hours For vip DM @USER Profit minimum 5X with our pumps
5,92,2021-06-06 14:59:00+00:00,1157923690,Next pump soon 🔜 🚀
0,83,2021-05-24 16:53:03+00:00,1157923690,HUGE Hotbit_CEX PUMP for you ! 🚀 🔥 🚀 🔥 🚀 Date : 25.May 2021 Time : 17:00 GMT Exchange : Hotbit_CEX Pair : USDT For vip DM @USER
5,81,2021-05-22 02:08:32+00:00,1157923690,Today at 17 : GMT We will go to moon 🌚 🚀 Big pump a way 🚀 For vip DM @USER
5,69,2021-05-15 04:53:08+00:00,1157923690,+ 5000 % 🚀
5,53,2021-04-30 12:12:06+00:00,1157923690,"Last pump it was + 1900 % HUGE PUMP 1900 % 100 $ = 1900 $ 💣 🌪 we will do a big pump for next time + 2500 % Exchange 💸 📌 ✅ hotbit_CEX ✅ bainace ✅ kucoin_CEX Join our vips to get the best Crypto Pumps Signals and make HUGE PROFITS , contact me via dm @USER join the vips"
5,50,2021-04-29 19:24:30+00:00,1157923690,Our members we are so sorry our coin it was Crashed we will do pump we choose good coin for pump 22:40 GMT
