label,id,date,channel_id,message
5,103,2021-11-12 14:30:17+00:00,1420299757,"🛎 BitShiba ( $ SHIBA ) has officially launched ! The Shiba Inu Killer on Binance_CEX Smart Chain . The community controls 100 % of all the tokens . If you missed buying DogeCoin and Shiba Inu in the early days , today we present you the next biggest opportunity of a lifetime that will compete with the 2 biggest meme coins in crypto . This is a 100x - 1000x potential that no one will want to miss . Features of BitShiba : - 100 % Fair Launch , - Dex Liquidity is fully locked until 2099 , - 50 % of all the tokens added as liquidity and 50 % intentionally burned , - No presale , no team tokens , no allocations , - Audited by Unicrypt and applied for Certik , - Strong and amazing roadmap ahead . 📌 Contract Address : 0xb84cbbf09b3ed388a45cd875ebba41a20365e6e7 🛒 Buy on PancakeSwap_DEX : Click here 📈 Live Chart : Click here ┌ BitShiba Socials : ├ ➡ ️ Website : UNKNOWN_URL: bitshiba ├ ➡ ️ Telegram : t.me/bitshibatoken ├ ➡ ️ Discord : discord.gg/bitshiba └ ➡ ️ Twitter : twitter/bitshibatoken"
2,92,2021-08-29 17:00:07+00:00,1420299757,BRD
0,78,2021-07-13 12:00:10+00:00,1420299757,"Crypto Signal Announcement ! Hello everyone , our next signal will be scheduled for : Date : Sunday August 29 Time : 17:00 pm GMT Exchange : Binance_CEX Advantage : Free-For-All The crypto world has evolved , and we need to update ourselves . We have around 50 days to prepare this signal and we're aiming for the 1000 % target of profit for all our members ! We will improve a lot of things , and especially make a big promotion over all the social media to bring the whole crypto community into our group . Don't miss this chance , because it will change your whole life in just few minutes ! All together , stronger !"
2,75,2021-06-06 17:00:07+00:00,1420299757,CND CND CND
2,49,2021-05-01 17:00:08+00:00,1420299757,DLT
1,48,2021-05-01 16:59:01+00:00,1420299757,NEXT POST = COIN NAME 1 minute left 🚀 🚀 🚀
0,30,2021-04-22 14:00:10+00:00,1420299757,"Dubai Team Pump Announcement ! 🔔 Hello everyone , our first pump will be scheduled for : Date : Saturday May 1 Time : 17:00 pm GMT Exchange : Binance_CEX Advantage : Free-For-All"
5,25,2021-04-21 08:00:06+00:00,1420299757,"Dear members , Since our group is still at the beginning and we want to be absolutely sure that profits will be made , we decided not to take part in the last pump . After a long discussion with the whole team , we fear that the coin has already been leaked because the price has increased too much . It is very important to us that all members generate profits . We'll be posting our next pump date soon . Stay tuned !"
1,24,2021-04-11 15:00:01+00:00,1420299757,"Tik Tok , Tik Tok . The time is moving faster 2 Hours Left until our first DubaiPump 🚀"
0,8,2021-03-28 00:47:21+00:00,1420299757,"Dubai Team Pump Announcement ! Hello everyone , our first pump will be scheduled for : Date : Sunday April 11 Time : 17:00 pm GMT Exchange : Binance_CEX Advantage : Free-For-All"
