id,channel_id,label
1854,1710706106,5.0
1853,1710706106,1.0
1852,1710706106,5.0
1851,1710706106,1.0
1850,1710706106,5.0
1848,1710706106,1.0
1847,1710706106,0.0
1846,1710706106,2.0
1845,1710706106,1.0
1844,1710706106,1.0
1843,1710706106,1.0
1842,1710706106,1.0
1841,1710706106,1.0
1840,1710706106,1.0
1839,1710706106,1.0
1838,1710706106,1.0
1837,1710706106,1.0
1836,1710706106,1.0
1835,1710706106,1.0
1834,1710706106,5.0
1833,1710706106,5.0
1832,1710706106,1.0
1831,1710706106,5.0
1830,1710706106,1.0
1829,1710706106,5.0
1828,1710706106,1.0
1827,1710706106,5.0
1826,1710706106,1.0
1825,1710706106,0.0
1824,1710706106,5.0
1823,1710706106,2.0
1822,1710706106,1.0
1821,1710706106,1.0
1820,1710706106,1.0
1819,1710706106,1.0
1818,1710706106,1.0
1817,1710706106,1.0
1816,1710706106,1.0
1815,1710706106,1.0
1814,1710706106,1.0
1813,1710706106,1.0
1812,1710706106,1.0
1811,1710706106,5.0
1810,1710706106,1.0
1809,1710706106,1.0
1808,1710706106,5.0
1807,1710706106,1.0
1806,1710706106,5.0
1805,1710706106,1.0
1804,1710706106,5.0
1803,1710706106,1.0
1802,1710706106,0.0
1801,1710706106,1.0
1800,1710706106,1.0
1799,1710706106,1.0
1798,1710706106,1.0
1797,1710706106,1.0
1796,1710706106,1.0
1795,1710706106,1.0
1794,1710706106,1.0
1793,1710706106,1.0
1792,1710706106,1.0
1791,1710706106,1.0
1790,1710706106,1.0
1789,1710706106,5.0
1788,1710706106,1.0
1787,1710706106,1.0
1786,1710706106,5.0
1785,1710706106,1.0
1784,1710706106,5.0
1783,1710706106,1.0
1782,1710706106,5.0
1781,1710706106,1.0
1780,1710706106,0.0
1768,1710706106,5.0
1767,1710706106,1.0
1766,1710706106,1.0
1765,1710706106,5.0
1764,1710706106,1.0
1763,1710706106,0.0
1762,1710706106,5.0
1761,1710706106,2.0
1760,1710706106,1.0
1759,1710706106,1.0
1758,1710706106,1.0
1757,1710706106,1.0
1756,1710706106,1.0
1755,1710706106,1.0
1754,1710706106,1.0
1753,1710706106,1.0
1752,1710706106,1.0
1751,1710706106,1.0
1750,1710706106,1.0
1749,1710706106,5.0
1748,1710706106,1.0
1747,1710706106,1.0
1746,1710706106,5.0
1745,1710706106,1.0
1744,1710706106,5.0
1743,1710706106,1.0
1742,1710706106,0.0
