id,channel_id,label
4653,1625691880,1.0
4652,1625691880,5.0
4651,1625691880,0.0
4650,1625691880,5.0
4649,1625691880,5.0
4648,1625691880,3.0
4647,1625691880,5.0
4646,1625691880,5.0
4645,1625691880,5.0
4644,1625691880,2.0
4643,1625691880,1.0
4642,1625691880,1.0
4641,1625691880,1.0
4640,1625691880,1.0
4639,1625691880,1.0
4638,1625691880,1.0
4637,1625691880,1.0
4636,1625691880,1.0
4635,1625691880,1.0
4634,1625691880,1.0
4633,1625691880,1.0
4632,1625691880,5.0
4631,1625691880,1.0
4630,1625691880,1.0
4629,1625691880,5.0
4628,1625691880,0.0
4626,1625691880,3.0
4625,1625691880,5.0
4624,1625691880,5.0
4623,1625691880,5.0
4622,1625691880,2.0
4621,1625691880,1.0
4620,1625691880,1.0
4619,1625691880,1.0
4618,1625691880,1.0
4617,1625691880,1.0
4616,1625691880,1.0
4615,1625691880,1.0
4614,1625691880,1.0
4613,1625691880,1.0
4612,1625691880,1.0
4611,1625691880,1.0
4610,1625691880,5.0
4609,1625691880,1.0
4608,1625691880,1.0
4607,1625691880,1.0
4606,1625691880,1.0
4605,1625691880,1.0
4604,1625691880,0.0
4603,1625691880,5.0
4602,1625691880,5.0
4601,1625691880,3.0
4599,1625691880,5.0
4597,1625691880,5.0
4596,1625691880,5.0
4595,1625691880,2.0
4594,1625691880,1.0
4593,1625691880,1.0
4592,1625691880,5.0
4591,1625691880,1.0
4590,1625691880,1.0
4589,1625691880,1.0
4588,1625691880,1.0
4587,1625691880,5.0
4586,1625691880,1.0
4585,1625691880,1.0
4584,1625691880,1.0
4583,1625691880,1.0
4582,1625691880,1.0
4581,1625691880,5.0
4580,1625691880,1.0
4579,1625691880,1.0
4578,1625691880,1.0
4577,1625691880,1.0
4576,1625691880,1.0
4575,1625691880,1.0
4574,1625691880,0.0
4573,1625691880,5.0
4572,1625691880,5.0
4571,1625691880,5.0
4570,1625691880,5.0
4569,1625691880,5.0
4568,1625691880,5.0
4567,1625691880,5.0
4565,1625691880,5.0
4564,1625691880,3.0
4563,1625691880,5.0
4562,1625691880,5.0
4561,1625691880,2.0
4560,1625691880,1.0
4559,1625691880,1.0
4558,1625691880,1.0
4557,1625691880,1.0
4556,1625691880,1.0
4555,1625691880,1.0
4554,1625691880,1.0
4553,1625691880,1.0
4552,1625691880,1.0
4551,1625691880,5.0
4550,1625691880,1.0
4549,1625691880,1.0
4548,1625691880,0.0
4510,1625691880,2.0
4487,1625691880,5.0
4486,1625691880,5.0
4485,1625691880,5.0
4484,1625691880,2.0
3976,1625691880,5.0
3975,1625691880,5.0
