label,id,date,channel_id,message,views,image
5,1507,2024-04-05 17:06:27+00:00,1066638082,THAT'S AMAZING 🍿,64533,
5,1506,2024-04-05 17:04:57+00:00,1066638082,SELL NOW 🔻 🔺,61012,
5,1504,2024-04-05 17:02:49+00:00,1066638082,LET'S GOO ...,62428,
2,1503,2024-04-05 17:00:47+00:00,1066638082,COIN IS : $ STRIKE,64447,
1,1502,2024-04-05 16:59:01+00:00,1066638082,1 Minute Left 🕦,63993,
1,1501,2024-04-05 16:58:01+00:00,1066638082,2 Minutes Left 🕦,65786,
1,1500,2024-04-05 16:57:01+00:00,1066638082,3 Minutes Left 🕦,14634,
1,1499,2024-04-05 16:56:01+00:00,1066638082,4 Minutes 🕦 ...,14605,
5,1497,2024-04-05 16:40:18+00:00,1066638082,Waiting ... 🕢 🕗,14329,
5,1495,2024-04-05 16:20:12+00:00,1066638082,"PUMP INFORMATION ℹ️ We already know what happens when we involve the biggest of whales in the MARKET price explodes to ridiculous highs and remains up , without dropping a penny , meaning we'll have buying support all throughout our pump . We RECOMMEND initially market buying 75 % of balance at market price to catch the first and strongest wave , then laddering the remaining USDT balance as limit orders below current market prices . We're expecting at least 3 initial waves to this pump , meaning we'll be market and limit buying and holding at different price points to get the best average entry When to sell ? In order to get the highest volume of outsider buying volume for this pump , do not sell into buying walls set by other members , instead sell small parts as price goes . Up and place limit orders above 500 % - 800 % The main objective of this pump is for all our members to make a huge profit , meaning we need to hold price up while outside traders enter the market . Our whales will be taking care of continuously pushing price up by market buying until we get the most outside buyers Signed 📝 Whales Team .",14167,
1,1492,2024-04-05 16:00:47+00:00,1066638082,1 HOUR LEFT 🕦,12793,
1,1491,2024-04-05 15:01:38+00:00,1066638082,2 HOURS LEFT 🕦,12811,
1,1490,2024-04-05 14:00:26+00:00,1066638082,3 HOURS LEFT 🕦,11543,
5,1488,2024-04-05 12:00:24+00:00,1066638082,Everything was CAREFULLY prepared . We will invest a BIG large amount of money in the PUMP this time Get ready and keep one thing in mind ! 🚨 NEVER GUESS THE COIN BEFORE WE TELL YOU ! 🚨 Signed 📝 Whales Team .,11661,
5,1486,2024-04-04 16:45:22+00:00,1066638082,"We're MORE THAN 4,2 k Membership on Secret VIP 🏷 ️ $ DPET ... +196.43 % 👀 Submit your Google FORM : UNKNOWN_URL: google OFFICIAL VIP Subscription REQUEST 🧾 ✉ ️ Contact Team ✉ ️ @USER",10941,
5,1484,2024-04-04 16:45:21+00:00,1066638082,Results one of our VIP MEMBERSHIP 🏷 ️ 🌟 James from USA 🌟 Budget ( 47k $ ) 103k $ in 🚦 PUMP 🚦 ( $ DPET ) Our last PUMP was AMAZING 🙏🏻,10756,
5,1483,2024-04-04 16:45:21+00:00,1066638082,Results one of our VIP MEMBERSHIP 🏷 ️ 🌟 Ahmed from Algeria 🌟 Budget ( 13k $ ) 88k $ in 🚦 PUMP 🚦 ( $ DPET ) Our last PUMP was AMAZING 🙏🏻,10681,
5,1482,2024-04-04 16:45:20+00:00,1066638082,Results one of our VIP MEMBERSHIP 🏷 ️ 🌟 Abasi from Egypt 🌟 Budget ( 3k $ ) 9k $ in 🚦 PUMP 🚦 ( $ DPET ) Our last PUMP was AMAZING 🙏🏻,10634,
5,1480,2024-04-04 16:35:15+00:00,1066638082,"A clear INTERPRETATION of your life as an investor . When you put in the work and TRUST the process , your profits will grow beyond your expectations ! Signed 📝 Whales Team",10644,
5,1478,2024-04-04 15:35:09+00:00,1066638082,"🕢 OFFER "" LIMITED SLOTS "" 🕢 It's open now and for limited members only ... Next pumping biggest than you imagine ... That's why it's the last membership slots request for this year . Get it now ... 5 slots available 📦 Submit your FORM ... It's 250 $ Yearly Membership ( Limited Slots ) 🏷 ️ Google FORM : UNKNOWN_URL: google More information ? Contact our team Team : @USER Next PUMP will be huge and this is your opportunity to RECOVERY your all loses 🔻 in the MARKET . Signed 📝 Whales Team .",10682,
1,1475,2024-04-04 13:00:23+00:00,1066638082,1 DAY COUNT-DOWN 🕦,10703,
5,1473,2024-04-03 20:25:23+00:00,1066638082,"🕢 OFFER "" LIMITED SLOTS "" 🕢 It's open now and for limited members only ... Next pumping biggest than you imagine ... That's why it's the last membership slots request for this year . Get it now ... 11 slots available 📦 Submit your FORM ... It's 250 $ Yearly Membership ( Limited Slots ) 🏷 ️ Google FORM : UNKNOWN_URL: google More information ? Contact our team Team : @USER Next PUMP will be huge and this is your opportunity to RECOVERY your all loses 🔻 in the MARKET . Signed 📝 Whales Team .",11483,
5,1471,2024-04-03 16:45:23+00:00,1066638082,"🕢 OFFER "" LIMITED SLOTS "" 🕢 It's open now and for limited members only ... Next pumping biggest than you imagine ... That's why it's the last membership slots request for this year . Get it now ... 33 slots available 📦 Submit your FORM ... It's 250 $ Yearly Membership ( Limited Slots ) 🏷 ️ Google FORM : UNKNOWN_URL: google More information ? Contact our team Team : @USER Next PUMP will be huge and this is your opportunity to RECOVERY your all loses 🔻 in the MARKET . Signed 📝 Whales Team .",11554,
